reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,22,pmf,stable,0.274
2026-02-21,wk flu hosp rate change,0,2026-02-21,23,pmf,decrease,0.168
2026-02-21,wk flu hosp rate change,0,2026-02-21,23,pmf,increase,0.129
2026-02-21,wk flu hosp rate change,0,2026-02-21,23,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,23,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,23,pmf,stable,0.701
2026-02-21,wk flu hosp rate change,0,2026-02-21,24,pmf,decrease,0.765
2026-02-21,wk flu hosp rate change,0,2026-02-21,24,pmf,increase,0.05
2026-02-21,wk flu hosp rate change,0,2026-02-21,24,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,24,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,24,pmf,stable,0.18299999999999988
2026-02-21,wk flu hosp rate change,0,2026-02-21,25,pmf,decrease,0.656
2026-02-21,wk flu hosp rate change,0,2026-02-21,25,pmf,increase,0.019
2026-02-21,wk flu hosp rate change,0,2026-02-21,25,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,25,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,25,pmf,stable,0.3229999999999999
2026-02-21,wk flu hosp rate change,0,2026-02-21,26,pmf,decrease,0.467
2026-02-21,wk flu hosp rate change,0,2026-02-21,26,pmf,increase,0.076
2026-02-21,wk flu hosp rate change,0,2026-02-21,26,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,26,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,26,pmf,stable,0.4549999999999999
2026-02-21,wk flu hosp rate change,0,2026-02-21,27,pmf,decrease,0.452
2026-02-21,wk flu hosp rate change,0,2026-02-21,27,pmf,increase,0.291
2026-02-21,wk flu hosp rate change,0,2026-02-21,27,pmf,large_decrease,0.028
2026-02-21,wk flu hosp rate change,0,2026-02-21,27,pmf,large_increase,0.09
2026-02-21,wk flu hosp rate change,0,2026-02-21,27,pmf,stable,0.139
2026-02-21,wk flu hosp rate change,0,2026-02-21,28,pmf,decrease,0.271
2026-02-21,wk flu hosp rate change,0,2026-02-21,28,pmf,increase,0.301
2026-02-21,wk flu hosp rate change,0,2026-02-21,28,pmf,large_decrease,0.136
2026-02-21,wk flu hosp rate change,0,2026-02-21,28,pmf,large_increase,0.018
2026-02-21,wk flu hosp rate change,0,2026-02-21,28,pmf,stable,0.2739999999999999
2026-02-21,wk flu hosp rate change,0,2026-02-21,30,pmf,decrease,0.388
2026-02-21,wk flu hosp rate change,0,2026-02-21,30,pmf,increase,0.173
2026-02-21,wk flu hosp rate change,0,2026-02-21,30,pmf,large_decrease,0.07
2026-02-21,wk flu hosp rate change,0,2026-02-21,30,pmf,large_increase,0.114
2026-02-21,wk flu hosp rate change,0,2026-02-21,30,pmf,stable,0.255
2026-02-21,wk flu hosp rate change,0,2026-02-21,31,pmf,decrease,0.263
2026-02-21,wk flu hosp rate change,0,2026-02-21,31,pmf,increase,0.228
2026-02-21,wk flu hosp rate change,0,2026-02-21,31,pmf,large_decrease,0.018
2026-02-21,wk flu hosp rate change,0,2026-02-21,31,pmf,large_increase,0.005
2026-02-21,wk flu hosp rate change,0,2026-02-21,31,pmf,stable,0.486
2026-02-21,wk flu hosp rate change,0,2026-02-21,32,pmf,decrease,0.427
2026-02-21,wk flu hosp rate change,0,2026-02-21,32,pmf,increase,0.044
2026-02-21,wk flu hosp rate change,0,2026-02-21,32,pmf,large_decrease,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,32,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,32,pmf,stable,0.525
2026-02-21,wk flu hosp rate change,0,2026-02-21,33,pmf,decrease,0.342
2026-02-21,wk flu hosp rate change,0,2026-02-21,33,pmf,increase,0.074
2026-02-21,wk flu hosp rate change,0,2026-02-21,33,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,33,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,33,pmf,stable,0.582
2026-02-21,wk flu hosp rate change,0,2026-02-21,34,pmf,decrease,0.562
2026-02-21,wk flu hosp rate change,0,2026-02-21,34,pmf,increase,0.056
2026-02-21,wk flu hosp rate change,0,2026-02-21,34,pmf,large_decrease,0.017
2026-02-21,wk flu hosp rate change,0,2026-02-21,34,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,34,pmf,stable,0.3629999999999999
2026-02-21,wk flu hosp rate change,0,2026-02-21,35,pmf,decrease,0.6773226773226775
2026-02-21,wk flu hosp rate change,0,2026-02-21,35,pmf,increase,0.06993006993006995
2026-02-21,wk flu hosp rate change,0,2026-02-21,35,pmf,large_decrease,0.015984015984015987
2026-02-21,wk flu hosp rate change,0,2026-02-21,35,pmf,large_increase,0.0019980019980019984
2026-02-21,wk flu hosp rate change,0,2026-02-21,35,pmf,stable,0.23476523476523478
2026-02-21,wk flu hosp rate change,0,2026-02-21,36,pmf,decrease,0.344
2026-02-21,wk flu hosp rate change,0,2026-02-21,36,pmf,increase,0.028
2026-02-21,wk flu hosp rate change,0,2026-02-21,36,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,36,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,36,pmf,stable,0.626
2026-02-21,wk flu hosp rate change,0,2026-02-21,37,pmf,decrease,0.358
2026-02-21,wk flu hosp rate change,0,2026-02-21,37,pmf,increase,0.102
